NAME                                       VERSION   AVAILABLE   PROGRESSING   DEGRADED   SINCE
authentication                             4.6.59    True        False         False      33h
cloud-credential                           4.6.59    True        False         False      628d
cluster-autoscaler                         4.6.59    True        False         False      628d
config-operator                            4.6.59    True        False         False      628d
console                                    4.6.59    True        False         False      28d
csi-snapshot-controller                    4.6.59    True        False         False      8d
dns                                        4.6.59    True        False         False      194d
etcd                                       4.6.59    True        False         False      628d
image-registry                             4.6.59    True        False         False      28d
ingress                                    4.6.59    True        False         False      74d
insights                                   4.6.59    True        False         False      628d
kube-apiserver                             4.6.59    True        False         False      628d
kube-controller-manager                    4.6.59    True        False         False      628d
kube-scheduler                             4.6.59    True        False         False      628d
kube-storage-version-migrator              4.6.59    True        False         False      4d9h
machine-api                                4.6.59    True        False         False      628d
machine-approver                           4.6.59    True        False         False      628d
machine-config                             4.6.59    True        False         False      9d
marketplace                                4.6.59    True        False         False      28d
monitoring                                 4.6.59    True        False         False      33h
network                                    4.6.59    True        False         False      628d
node-tuning                                4.6.59    True        False         False      28d
openshift-apiserver                        4.6.59    True        False         False      3d3h
openshift-controller-manager               4.6.59    True        False         False      25d
openshift-samples                          4.6.59    True        False         False      28d
operator-lifecycle-manager                 4.6.59    True        False         False      628d
operator-lifecycle-manager-catalog         4.6.59    True        False         False      628d
operator-lifecycle-manager-packageserver   4.6.59    True        False         False      9d
service-ca                                 4.6.59    True        False         False      628d
storage                                    4.6.59    True        False         False      16d
